recordid,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
2108,155,14,0,27,2,7,16,5,5,15,4,161,1,-0.18,1,22,2,16.67,18.75,18.75,18.75,18.75,8.33,1,7,8,8,10,7,6,7,6,2,27,business,8,,,,2,5,1,"Philadelphia, PA","19,041","74,624.00",2,5,1,Nonprofit,9,2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,3,NA,15.09,18.87,18.87,16.98,16.98,13.21,8,8,7,9,7,7,21.95,14.63,12.2,21.95,9.76,19.51,7,10,6,8,9,NA,NA,NA,NA,NA,1,8,7,7,8,7,5,7,5,0,0,14.58,18.75,18.75,14.58,18.75,14.58,7,9,7,6,9,6,1,2,NA,NA,NA,NA,NA,NA,16.67,18.75,18.75,14.58,16.67,14.58,7,8,7,9,7,9,20.93,16.28,13.95,20.93,9.3,18.6,7,9,7,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2123,156,15,0,29,2,7,16,7,7,5,3,160,1,-0.03,1,29,1,16,18,18,18,14,16,1,8,10,8,9,9,10,8,9,1,30,Business,8,,,,1,1,1,"Atlanta, GA","27,870","21,590.00",2,6,3,Marketing and Media,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,NA,14,18,16,18,18,16,10,8,8,10,8,9,18.87,15.09,15.09,18.87,15.09,16.98,8,10,10,9,10,NA,NA,NA,NA,NA,1,7,10,10,9,10,10,8,10,1,5,14.89,19.15,19.15,14.89,19.15,12.77,8,10,9,9,10,8,3,3,NA,NA,NA,NA,NA,NA,14.29,16.33,18.37,18.37,18.37,14.29,9,8,9,8,9,9,20.41,14.29,14.29,18.37,14.29,18.37,8,9,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2126,156,15,0,29,2,7,16,7,7,13,6,163,1,0.21,0,26,2,12,20,20,20,16,12,1,8,9,9,8,8,8,8,6,2,30,Business,8,,,,1,1,1,"Atlanta, GA","27,870","21,590.00",2,6,3,Marketing and Media,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,NA,14,18,16,18,18,16,10,8,8,10,8,9,18.87,15.09,15.09,18.87,15.09,16.98,8,10,10,9,10,NA,NA,NA,NA,NA,1,6,9,10,7,10,8,7,6,0,5,14.89,19.15,19.15,14.89,19.15,12.77,8,10,9,9,10,8,3,3,NA,NA,NA,NA,NA,NA,14.29,16.33,18.37,18.37,18.37,14.29,9,8,9,8,9,9,20.41,14.29,14.29,18.37,14.29,18.37,8,9,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2135,156,15,0,29,2,7,16,7,7,11,15,172,1,-0.08,0,27,2,17.78,17.78,22.22,20,15.56,6.67,1,6,8,7,7,8,7,7,6,2,30,Business,8,,,,1,1,1,"Atlanta, GA","27,870","21,590.00",2,6,3,Marketing and Media,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,NA,14,18,16,18,18,16,10,8,8,10,8,9,18.87,15.09,15.09,18.87,15.09,16.98,8,10,10,9,10,NA,NA,NA,NA,NA,1,5,9,10,8,10,7,8,8,0,5,14.89,19.15,19.15,14.89,19.15,12.77,8,10,9,9,10,8,3,3,NA,NA,NA,NA,NA,NA,14.29,16.33,18.37,18.37,18.37,14.29,9,8,9,8,9,9,20.41,14.29,14.29,18.37,14.29,18.37,8,9,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2136,156,15,0,29,2,7,16,7,7,8,16,173,1,-0.15,0,22,2,18.37,18.37,20.41,20.41,16.33,6.12,1,7,7,7,7,7,6,6,5,2,30,Business,8,,,,1,1,1,"Atlanta, GA","27,870","21,590.00",2,6,3,Marketing and Media,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,NA,14,18,16,18,18,16,10,8,8,10,8,9,18.87,15.09,15.09,18.87,15.09,16.98,8,10,10,9,10,NA,NA,NA,NA,NA,1,6,9,10,9,9,7,8,7,0,5,14.89,19.15,19.15,14.89,19.15,12.77,8,10,9,9,10,8,3,3,NA,NA,NA,NA,NA,NA,14.29,16.33,18.37,18.37,18.37,14.29,9,8,9,8,9,9,20.41,14.29,14.29,18.37,14.29,18.37,8,9,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2148,157,16,0,31,2,7,16,16,16,12,12,169,1,0.61,0,28,2,17.78,20,17.78,15.56,15.56,13.33,1,10,8,8,9,9,8,9,8,2,28,"Business, marketing",8,,,,4,5,3,Cleveland,"44,147","38,832.00",1,6,1,Brand Management,7,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,4,NA,14.29,16.33,16.33,18.37,18.37,16.33,8,8,7,7,6,6,23.26,16.28,13.95,16.28,13.95,16.28,7,8,9,8,9,NA,NA,NA,NA,NA,1,8,7,7,8,7,8,7,6,0,2,14.58,16.67,16.67,16.67,18.75,16.67,7,8,8,9,9,2,2,2,NA,NA,NA,NA,NA,NA,14.58,16.67,16.67,18.75,18.75,14.58,8,8,8,7,7,8,21.95,14.63,14.63,17.07,14.63,17.07,7,8,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2169,159,2,1,4,2,7,16,9,8,2,1,142,1,-0.57,1,24,2,14.29,14.29,21.43,21.43,19.05,9.52,1,5,10,9,8,7,5,9,9,2,28,Physics,10,,,,2,7,2,Greece,,,1,6,2,Academic,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,NA,15.91,20.45,20.45,20.45,11.36,11.36,8,8,6,7,2,5,14.81,18.52,18.52,16.67,14.81,16.67,5,9,8,9,7,NA,NA,NA,NA,NA,1,7,7,7,6,NA,4,7,5,0,3,17.02,21.28,19.15,14.89,14.89,12.77,6,9,9,8,8,8,1,2,NA,NA,NA,NA,NA,NA,16.67,18.75,18.75,16.67,14.58,14.58,9,8,6,9,5,7,15.38,19.23,17.31,15.38,17.31,15.38,7,9,9,8,8,NA,NA,NA,NA,NA,1,0,0,NA,NA,14.29,18.37,18.37,18.37,16.33,14.29,NA,NA,NA,NA,NA,NA,9,7,7,8,7,8,9,9,7,8,9,NA,6,12,9,8,9,NA,NA,NA,NA,NA
2180,159,2,1,4,2,7,16,11,8,4,12,153,1,0.44,0,28,4,9.76,19.51,19.51,14.63,19.51,17.07,1,5,5,6,8,NA,5,5,5,2,28,Physics,10,,,,2,7,2,Greece,,,1,6,2,Academic,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,NA,15.91,20.45,20.45,20.45,11.36,11.36,8,8,6,7,2,5,14.81,18.52,18.52,16.67,14.81,16.67,5,9,8,9,7,NA,NA,NA,NA,NA,1,7,7,7,6,6,5,7,8,0,3,17.02,21.28,19.15,14.89,14.89,12.77,6,9,9,8,8,8,1,2,NA,NA,NA,NA,NA,NA,16.67,18.75,18.75,16.67,14.58,14.58,9,8,6,9,5,7,15.38,19.23,17.31,15.38,17.31,15.38,7,9,9,8,8,NA,NA,NA,NA,NA,1,0,0,NA,NA,14.29,18.37,18.37,18.37,16.33,14.29,NA,NA,NA,NA,NA,NA,9,7,7,8,7,8,9,9,7,8,9,NA,6,12,9,8,9,NA,NA,NA,NA,NA
2190,160,3,1,6,2,7,16,3,3,1,6,147,1,0.25,0,26,4,18,18,20,18,16,10,1,8,6,7,8,9,7,8,10,1,29,Business/ Finance/ Real Estate,8,,,,1,3,4,North Carolina,"28,387","28,240.00",2,5,2,Real Estate/ Private Equity,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,NA,16,18,18,18,14,16,9,7,8,8,7,7,14.29,20.41,16.33,16.33,18.37,14.29,8,8,9,8,9,NA,NA,NA,NA,NA,1,8,10,9,8,8,7,6,8,1,4,17.78,15.56,17.78,17.78,15.56,15.56,8,8,8,9,9,6,3,3,NA,NA,NA,NA,NA,NA,17.31,19.23,17.31,15.38,15.38,15.38,8,7,8,7,9,8,13.46,19.23,17.31,15.38,19.23,15.38,8,8,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2192,160,3,1,6,2,7,16,1,3,15,8,149,1,-0.03,0,28,2,8.51,19.15,19.15,19.15,19.15,14.89,1,9,7,8,8,8,6,8,6,2,29,Business/ Finance/ Real Estate,8,,,,1,3,4,North Carolina,"28,387","28,240.00",2,5,2,Real Estate/ Private Equity,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,NA,16,18,18,18,14,16,9,7,8,8,7,7,14.29,20.41,16.33,16.33,18.37,14.29,8,8,9,8,9,NA,NA,NA,NA,NA,1,6,9,9,6,8,NA,5,5,0,4,17.78,15.56,17.78,17.78,15.56,15.56,8,8,8,9,9,6,3,3,NA,NA,NA,NA,NA,NA,17.31,19.23,17.31,15.38,15.38,15.38,8,7,8,7,9,8,13.46,19.23,17.31,15.38,19.23,15.38,8,8,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2199,160,3,1,6,2,7,16,7,3,5,15,156,1,-0.03,1,30,1,14,18,16,18,18,16,1,7,10,10,9,10,10,8,10,1,29,Business/ Finance/ Real Estate,8,,,,1,3,4,North Carolina,"28,387","28,240.00",2,5,2,Real Estate/ Private Equity,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,NA,16,18,18,18,14,16,9,7,8,8,7,7,14.29,20.41,16.33,16.33,18.37,14.29,8,8,9,8,9,NA,NA,NA,NA,NA,1,8,10,8,9,9,10,8,9,1,4,17.78,15.56,17.78,17.78,15.56,15.56,8,8,8,9,9,6,3,3,NA,NA,NA,NA,NA,NA,17.31,19.23,17.31,15.38,15.38,15.38,8,7,8,7,9,8,13.46,19.23,17.31,15.38,19.23,15.38,8,8,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2213,161,4,1,8,2,7,16,15,7,9,13,154,1,0.51,1,27,2,15.38,17.31,17.31,17.31,17.31,15.38,1,10,8,9,9,8,6,8,5,2,22,Biochemistry,10,,,,2,6,2,"State College, PA","15,668","53,771.00",2,4,2,undecided,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,NA,16.67,18.75,18.75,18.75,18.75,8.33,8,8,9,9,9,7,14.55,18.18,18.18,16.36,18.18,14.55,8,7,9,9,7,NA,NA,NA,NA,NA,1,9,9,8,9,7,6,8,8,0,NA,20,20,15.56,20,13.33,11.11,8,6,9,10,6,4,1,3,NA,NA,NA,NA,NA,NA,16,18,18,20,12,16,8,8,9,9,5,9,14.55,18.18,16.36,18.18,16.36,16.36,8,8,10,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2214,161,4,1,8,2,7,16,5,7,15,14,155,1,-0.18,1,27,2,15.09,18.87,18.87,16.98,16.98,13.21,1,8,7,7,8,7,5,7,5,2,22,Biochemistry,10,,,,2,6,2,"State College, PA","15,668","53,771.00",2,4,2,undecided,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,NA,16.67,18.75,18.75,18.75,18.75,8.33,8,8,9,9,9,7,14.55,18.18,18.18,16.36,18.18,14.55,8,7,9,9,7,NA,NA,NA,NA,NA,1,7,8,8,10,7,6,7,6,0,NA,20,20,15.56,20,13.33,11.11,8,6,9,10,6,4,1,3,NA,NA,NA,NA,NA,NA,16,18,18,20,12,16,8,8,9,9,5,9,14.55,18.18,16.36,18.18,16.36,16.36,8,8,10,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2219,162,5,1,10,2,7,16,13,14,16,3,144,1,0.28,0,23,2,16,16,16,18,18,16,1,7,7,8,8,7,7,9,5,1,27,Biochemistry,10,,,,4,1,1,Canada,,,2,6,2,pharmaceuticals and biotechnology,4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,NA,15.22,15.22,19.57,17.39,13.04,19.57,8,7,7,8,6,7,13.04,19.57,19.57,17.39,17.39,13.04,7,8,7,9,8,NA,NA,NA,NA,NA,1,8,7,7,7,7,5,8,10,1,2,18.37,18.37,16.33,18.37,12.24,16.33,7,7,8,6,8,5,1,3,NA,NA,NA,NA,NA,NA,15.22,15.22,19.57,17.39,13.04,19.57,9,5,8,8,6,7,15.91,15.91,20.45,15.91,18.18,13.64,7,7,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2226,162,5,1,10,2,7,16,6,14,9,10,151,1,0.45,0,28,2,14.55,16.36,18.18,18.18,16.36,16.36,1,9,8,7,7,6,9,8,8,2,27,Biochemistry,10,,,,4,1,1,Canada,,,2,6,2,pharmaceuticals and biotechnology,4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,NA,15.22,15.22,19.57,17.39,13.04,19.57,8,7,7,8,6,7,13.04,19.57,19.57,17.39,17.39,13.04,7,8,7,9,8,NA,NA,NA,NA,NA,1,8,7,7,7,6,9,9,6,0,2,18.37,18.37,16.33,18.37,12.24,16.33,7,7,8,6,8,5,1,3,NA,NA,NA,NA,NA,NA,15.22,15.22,19.57,17.39,13.04,19.57,9,5,8,8,6,7,15.91,15.91,20.45,15.91,18.18,13.64,7,7,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2244,163,6,1,12,2,7,16,11,11,1,12,153,1,0.49,0,28,4,9.76,19.51,19.51,14.63,19.51,17.07,1,8,8,8,8,6,7,8,7,2,26,Art Education,9,,,,2,1,1,Minnesota,"55,391","56,096.00",4,3,3,college art teacher,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,NA,12,20,20,20,16,12,8,8,8,8,8,8,14.29,14.29,14.29,23.81,14.29,19.05,7,8,8,9,7,NA,NA,NA,NA,NA,1,8,10,8,8,8,6,8,5,0,3,13.89,13.89,22.22,16.67,19.44,13.89,7,8,9,7,8,7,3,2,NA,NA,NA,NA,NA,NA,14.89,17.02,19.15,19.15,14.89,14.89,9,7,7,9,7,9,16.67,16.67,16.67,16.67,16.67,16.67,7,8,9,8,7,NA,NA,NA,NA,NA,3,0,1,2,NA,13.33,15.56,17.78,20,17.78,15.56,NA,NA,NA,NA,NA,NA,7,7,7,8,8,8,7,7,7,8,8,NA,7,7,8,7,8,NA,NA,NA,NA,NA
2245,163,6,1,12,2,7,16,15,11,5,13,154,1,0.39,1,27,2,15.38,17.31,17.31,17.31,17.31,15.38,1,9,9,8,9,8,6,8,3,2,26,Art Education,9,,,,2,1,1,Minnesota,"55,391","56,096.00",4,3,3,college art teacher,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,NA,12,20,20,20,16,12,8,8,8,8,8,8,14.29,14.29,14.29,23.81,14.29,19.05,7,8,8,9,7,NA,NA,NA,NA,NA,1,8,10,8,8,7,5,7,5,0,3,13.89,13.89,22.22,16.67,19.44,13.89,7,8,9,7,8,7,3,2,NA,NA,NA,NA,NA,NA,14.89,17.02,19.15,19.15,14.89,14.89,9,7,7,9,7,9,16.67,16.67,16.67,16.67,16.67,16.67,7,8,9,8,7,NA,NA,NA,NA,NA,3,0,1,2,NA,13.33,15.56,17.78,20,17.78,15.56,NA,NA,NA,NA,NA,NA,7,7,7,8,8,8,7,7,7,8,8,NA,7,7,8,7,8,NA,NA,NA,NA,NA
2247,163,6,1,12,2,7,16,7,11,13,15,156,1,0.21,0,30,1,14,18,16,18,18,16,1,6,9,10,7,10,8,7,6,2,26,Art Education,9,,,,2,1,1,Minnesota,"55,391","56,096.00",4,3,3,college art teacher,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,NA,12,20,20,20,16,12,8,8,8,8,8,8,14.29,14.29,14.29,23.81,14.29,19.05,7,8,8,9,7,NA,NA,NA,NA,NA,1,8,9,9,8,8,8,8,6,0,3,13.89,13.89,22.22,16.67,19.44,13.89,7,8,9,7,8,7,3,2,NA,NA,NA,NA,NA,NA,14.89,17.02,19.15,19.15,14.89,14.89,9,7,7,9,7,9,16.67,16.67,16.67,16.67,16.67,16.67,7,8,9,8,7,NA,NA,NA,NA,NA,3,0,1,2,NA,13.33,15.56,17.78,20,17.78,15.56,NA,NA,NA,NA,NA,NA,7,7,7,8,8,8,7,7,7,8,8,NA,7,7,8,7,8,NA,NA,NA,NA,NA
2253,164,7,1,14,2,7,16,4,4,1,5,146,1,0.32,1,36,2,18.18,18.18,18.18,18.18,13.64,13.64,1,10,9,10,10,8,8,10,10,1,27,Philosophy,7,,,,2,1,1,Los Angeles,"90,291","31,560.00",1,6,2,academic,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,NA,20.51,23.08,20.51,17.95,2.56,15.38,8,5,5,5,5,5,21.88,15.63,15.63,15.63,15.63,15.63,7,9,6,9,4,NA,NA,NA,NA,NA,1,9,10,10,8,8,8,10,10,1,3,19.05,21.43,21.43,16.67,9.52,11.9,8,9,9,7,3,7,3,3,NA,NA,NA,NA,NA,NA,19.51,21.95,21.95,17.07,7.32,12.2,9,7,7,8,6,7,16.67,16.67,16.67,16.67,16.67,16.67,8,9,9,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2259,164,7,1,14,2,7,16,12,4,9,11,152,1,0.25,0,27,4,14,20,20,14,18,14,1,6,8,8,7,NA,9,7,7,2,27,Philosophy,7,,,,2,1,1,Los Angeles,"90,291","31,560.00",1,6,2,academic,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,NA,20.51,23.08,20.51,17.95,2.56,15.38,8,5,5,5,5,5,21.88,15.63,15.63,15.63,15.63,15.63,7,9,6,9,4,NA,NA,NA,NA,NA,1,8,9,9,NA,NA,NA,7,5,0,3,19.05,21.43,21.43,16.67,9.52,11.9,8,9,9,7,3,7,3,3,NA,NA,NA,NA,NA,NA,19.51,21.95,21.95,17.07,7.32,12.2,9,7,7,8,6,7,16.67,16.67,16.67,16.67,16.67,16.67,8,9,9,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2270,165,8,1,16,2,7,16,3,12,8,6,147,1,0.66,0,26,4,18,18,20,18,16,10,1,7,7,7,5,6,5,6,6,2,30,American Studies (Masters),13,,,,2,4,7,Detroit,"48,070","52,467.00",3,6,3,Writer,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,NA,16.67,12.5,20.83,18.75,12.5,18.75,10,6,6,8,2,6,9.09,20.45,18.18,20.45,13.64,18.18,8,6,7,9,2,NA,NA,NA,NA,NA,1,7,8,8,10,8,5,8,4,0,3,18.18,18.18,22.73,13.64,9.09,18.18,8,8,9,5,5,8,1,2,NA,NA,NA,NA,NA,NA,19.51,19.51,21.95,14.63,7.32,17.07,9,8,5,7,2,5,13.95,18.6,16.28,16.28,18.6,16.28,8,7,9,5,3,NA,NA,NA,NA,NA,2,0,1,2,NA,17.78,17.78,20,15.56,11.11,17.78,NA,NA,NA,NA,NA,NA,9,7,5,7,3,6,5,7,7,8,9,NA,8,7,9,5,4,NA,NA,NA,NA,NA
2273,165,8,1,16,2,7,16,8,12,13,9,150,1,0.1,1,31,2,12,20,20,20,14,14,1,9,8,8,7,8,NA,7,4,2,30,American Studies (Masters),13,,,,2,4,7,Detroit,"48,070","52,467.00",3,6,3,Writer,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,NA,16.67,12.5,20.83,18.75,12.5,18.75,10,6,6,8,2,6,9.09,20.45,18.18,20.45,13.64,18.18,8,6,7,9,2,NA,NA,NA,NA,NA,1,8,10,9,8,8,7,8,7,0,3,18.18,18.18,22.73,13.64,9.09,18.18,8,8,9,5,5,8,1,2,NA,NA,NA,NA,NA,NA,19.51,19.51,21.95,14.63,7.32,17.07,9,8,5,7,2,5,13.95,18.6,16.28,16.28,18.6,16.28,8,7,9,5,3,NA,NA,NA,NA,NA,2,0,1,2,NA,17.78,17.78,20,15.56,11.11,17.78,NA,NA,NA,NA,NA,NA,9,7,5,7,3,6,5,7,7,8,9,NA,8,7,9,5,4,NA,NA,NA,NA,NA
2275,165,8,1,16,2,7,16,12,12,1,11,152,1,0.62,0,27,4,14,20,20,14,18,14,1,8,8,7,8,8,9,9,6,2,30,American Studies (Masters),13,,,,2,4,7,Detroit,"48,070","52,467.00",3,6,3,Writer,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,NA,16.67,12.5,20.83,18.75,12.5,18.75,10,6,6,8,2,6,9.09,20.45,18.18,20.45,13.64,18.18,8,6,7,9,2,NA,NA,NA,NA,NA,1,8,9,10,5,9,5,7,4,0,3,18.18,18.18,22.73,13.64,9.09,18.18,8,8,9,5,5,8,1,2,NA,NA,NA,NA,NA,NA,19.51,19.51,21.95,14.63,7.32,17.07,9,8,5,7,2,5,13.95,18.6,16.28,16.28,18.6,16.28,8,7,9,5,3,NA,NA,NA,NA,NA,2,0,1,2,NA,17.78,17.78,20,15.56,11.11,17.78,NA,NA,NA,NA,NA,NA,9,7,5,7,3,6,5,7,7,8,9,NA,8,7,9,5,4,NA,NA,NA,NA,NA
2286,166,9,1,18,2,7,16,3,2,2,6,147,1,0.19,0,26,4,18,18,20,18,16,10,1,8,8,8,6,8,7,7,9,1,26,Business,8,,,,6,1,9,Washington DC Metro Region,"20,817","80,006.00",5,5,2,Finance,7,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,NA,27.78,19.44,19.44,27.78,2.78,2.78,10,8,8,8,6,7,21.74,15.22,15.22,15.22,17.39,15.22,7,7,7,7,7,NA,NA,NA,NA,NA,1,8,8,8,9,NA,NA,8,2,1,1,22.22,22.22,22.22,22.22,5.56,5.56,6,6,6,6,6,2,3,2,NA,NA,NA,NA,NA,NA,25,20,20,25,5,5,10,7,5,8,5,7,19.15,19.15,14.89,14.89,21.28,10.64,7,7,7,7,5,NA,NA,NA,NA,NA,1,0,1,1,NA,16.67,16.67,16.67,16.67,16.67,16.67,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,NA,7,7,7,7,7,NA,NA,NA,NA,NA
