"","recordid","iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field","field_cd","undergra","mn_sat","tuition","race","imprace","imprelig","from","zipcode","income","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","attr1_s","sinc1_s","intel1_s","fun1_s","amb1_s","shar1_s","attr3_s","sinc3_s","intel3_s","fun3_s","amb3_s","satis_2","length","numdat_2","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr4_2","sinc4_2","intel4_2","fun4_2","amb4_2","shar4_2","attr2_2","sinc2_2","intel2_2","fun2_2","amb2_2","shar2_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","attr5_2","sinc5_2","intel5_2","fun5_2","amb5_2","you_call","them_cal","date_3","numdat_3","num_in_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3"
"1462",1772,124,3,1,6,1,5,10,2,NA,1,6,117,0,0.33,0,21,2,20,10,20,20,20,10,0,4,8,7,5,9,3,2,1,NA,22,"Economics and Political Science",8,"","","",4,1,1,"Maryland","20,815","66,699.00",2,4,1,"Law or finance",1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,10,40,10,10,10,10,20,NA,NA,NA,NA,NA,NA,20,30,10,10,20,10,8,8,10,10,10,NA,NA,NA,NA,NA,1,8,7,6,5,5,5,7,8,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,50,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1463",1773,124,3,1,6,1,5,10,5,NA,4,10,119,0,0.69,0,19,3,50,15,10,10,10,5,0,4,9,8,NA,8,NA,4,7,2,22,"Economics and Political Science",8,"","","",4,1,1,"Maryland","20,815","66,699.00",2,4,1,"Law or finance",1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,10,40,10,10,10,10,20,NA,NA,NA,NA,NA,NA,20,30,10,10,20,10,8,8,10,10,10,NA,NA,NA,NA,NA,1,9,8,4,5,3,2,7,7,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,50,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1464",1774,124,3,1,6,1,5,10,3,NA,2,11,120,0,0.64,0,20,3,10,10,35,35,8,2,0,2,1,4,1,6,0,1,8,2,22,"Economics and Political Science",8,"","","",4,1,1,"Maryland","20,815","66,699.00",2,4,1,"Law or finance",1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,10,40,10,10,10,10,20,NA,NA,NA,NA,NA,NA,20,30,10,10,20,10,8,8,10,10,10,NA,NA,NA,NA,NA,0,7,5,6,6,8,7,8,8,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,50,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1465",1775,124,3,1,6,1,5,10,10,NA,9,12,121,0,0.83,0,21,2,35,15,5,30,15,0,0,4,6,7,6,6,1,5,10,2,22,"Economics and Political Science",8,"","","",4,1,1,"Maryland","20,815","66,699.00",2,4,1,"Law or finance",1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,10,40,10,10,10,10,20,NA,NA,NA,NA,NA,NA,20,30,10,10,20,10,8,8,10,10,10,NA,NA,NA,NA,NA,1,2,7,9,6,7,7,7,7,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,50,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1466",1776,124,3,1,6,1,5,10,4,NA,3,7,NA,0,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Economics and Political Science",8,"","","",4,1,1,"Maryland","20,815","66,699.00",2,4,1,"Law or finance",1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,10,40,10,10,10,10,20,NA,NA,NA,NA,NA,NA,20,30,10,10,20,10,8,8,10,10,10,NA,NA,NA,NA,NA,1,6,7,7,6,7,7,7,7,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,50,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1467",1779,125,4,1,8,1,5,10,7,NA,1,3,114,0,-0.1,0,20,1,20,20,20,20,10,10,0,7,5,5,6,5,3,5,4,1,21,"Art History/medicine",4,"","","",2,3,1,"Staten Island","10,306","45,360.00",1,3,1,"Pediatrics",4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6,4,20,15,20,15,12,18,NA,NA,NA,NA,NA,NA,25,10,15,15,15,20,9,6,10,9,10,NA,NA,NA,NA,NA,0,5,8,8,6,7,5,5,7,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,20,10,25,15,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1468",1785,125,4,1,8,1,5,10,10,NA,4,12,121,0,0.72,1,21,2,35,15,5,30,15,0,1,6,10,10,8,8,4,8,1,2,21,"Art History/medicine",4,"","","",2,3,1,"Staten Island","10,306","45,360.00",1,3,1,"Pediatrics",4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6,4,20,15,20,15,12,18,NA,NA,NA,NA,NA,NA,25,10,15,15,15,20,9,6,10,9,10,NA,NA,NA,NA,NA,0,4,6,6,5,4,2,3,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,20,10,25,15,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1469",1786,125,4,1,8,1,5,10,4,NA,8,7,NA,0,0.15,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Art History/medicine",4,"","","",2,3,1,"Staten Island","10,306","45,360.00",1,3,1,"Pediatrics",4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6,4,20,15,20,15,12,18,NA,NA,NA,NA,NA,NA,25,10,15,15,15,20,9,6,10,9,10,NA,NA,NA,NA,NA,0,7,7,6,6,5,5,5,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,NA,20,10,25,15,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1470",1789,126,5,1,10,1,5,10,7,NA,4,3,114,0,0.6,0,20,1,20,20,20,20,10,10,0,5,6,5,5,5,7,6,5,2,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,0,6,7,7,6,7,7,6,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1471",1790,126,5,1,10,1,5,10,1,NA,8,4,115,0,0.4,1,21,2,20,10,30,20,15,5,0,6,10,10,8,10,6,8,8,2,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,0,5,7,6,6,6,5,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1472",1791,126,5,1,10,1,5,10,8,NA,5,5,116,0,0.33,1,21,2,15,15,25,25,20,0,0,6,9,10,7,9,4,7,6,1,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,0,7,6,8,9,7,7,7,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1473",1792,126,5,1,10,1,5,10,2,NA,9,6,117,0,0.3,1,21,2,20,10,20,20,20,10,0,6,10,9,7,8,6,7,4,1,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,0,7,7,7,7,7,8,7,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1474",1793,126,5,1,10,1,5,10,5,NA,2,10,119,0,0.47,0,19,3,50,15,10,10,10,5,0,5,4,8,7,6,NA,4,7,NA,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,1,6,9,8,9,7,7,7,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1475",1794,126,5,1,10,1,5,10,3,NA,10,11,120,0,0.69,0,20,3,10,10,35,35,8,2,0,8,10,8,7,8,6,7,8,2,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,1,7,7,7,7,6,8,7,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1476",1795,126,5,1,10,1,5,10,10,NA,7,12,121,0,0.14,1,21,2,35,15,5,30,15,0,1,8,7,10,7,10,9,9,1,2,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,0,4,8,7,6,6,5,5,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1477",1796,126,5,1,10,1,5,10,4,NA,1,7,NA,0,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"philosophy",7,"","","",2,7,5,"New York, NY","10,021","55,080.00",4,6,3,"medicine",4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,5,25,40,15,10,5,5,NA,NA,NA,NA,NA,NA,20,20,15,20,15,10,9,10,9,9,9,NA,NA,NA,NA,NA,0,7,7,6,8,8,6,7,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,NA,NA,NA,NA,NA,NA,20,20,20,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,9,9,9,NA,NA,NA,NA,NA,2,2,1,NA,1,20,25,15,15,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,10,9,NA,NA,NA,NA,NA
"1478",1798,127,6,1,12,1,5,10,9,NA,2,2,113,0,-0.28,1,21,2,15,15,25,25,15,5,1,9,9,8,10,7,8,9,7,2,22,"Mechanical Engineering",5,"","","",2,1,1,"Massachusetts","1,720","",6,5,1,"Porn Star",6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20,25,25,25,15,5,5,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,8,8,9,9,8,NA,NA,NA,NA,NA,0,5,5,5,5,5,5,5,8,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,40,10,10,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,10,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,40,20,20,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,NA,NA,NA
"1479",1799,127,6,1,12,1,5,10,7,NA,10,3,114,0,0.05,0,20,1,20,20,20,20,10,10,0,2,3,2,2,6,2,2,1,2,22,"Mechanical Engineering",5,"","","",2,1,1,"Massachusetts","1,720","",6,5,1,"Porn Star",6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20,25,25,25,15,5,5,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,8,8,9,9,8,NA,NA,NA,NA,NA,0,5,7,7,2,5,2,3,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,40,10,10,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,10,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,40,20,20,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,NA,NA,NA
"1480",1802,127,6,1,12,1,5,10,2,NA,5,6,117,0,0,1,21,2,20,10,20,20,20,10,0,8,6,7,6,8,5,7,2,2,22,"Mechanical Engineering",5,"","","",2,1,1,"Massachusetts","1,720","",6,5,1,"Porn Star",6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20,25,25,25,15,5,5,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,8,8,9,9,8,NA,NA,NA,NA,NA,1,7,7,8,8,10,6,7,10,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,40,10,10,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,10,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,40,20,20,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,NA,NA,NA
"1481",1804,127,6,1,12,1,5,10,3,NA,6,11,120,0,-0.36,0,20,3,10,10,35,35,8,2,0,9,4,5,2,2,1,2,7,2,22,"Mechanical Engineering",5,"","","",2,1,1,"Massachusetts","1,720","",6,5,1,"Porn Star",6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20,25,25,25,15,5,5,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,8,8,9,9,8,NA,NA,NA,NA,NA,1,8,5,7,8,5,6,7,10,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,40,10,10,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,10,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,40,20,20,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,NA,NA,NA
"1482",1805,127,6,1,12,1,5,10,10,NA,3,12,121,0,-0.36,1,21,2,35,15,5,30,15,0,0,4,4,2,1,1,1,1,1,2,22,"Mechanical Engineering",5,"","","",2,1,1,"Massachusetts","1,720","",6,5,1,"Porn Star",6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20,25,25,25,15,5,5,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,8,8,9,9,8,NA,NA,NA,NA,NA,0,5,8,7,0,5,0,4,7,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,40,10,10,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,10,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,40,20,20,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,NA,NA,NA
"1483",1806,127,6,1,12,1,5,10,4,NA,7,7,NA,0,0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Mechanical Engineering",5,"","","",2,1,1,"Massachusetts","1,720","",6,5,1,"Porn Star",6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,20,25,25,25,15,5,5,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,8,8,9,9,8,NA,NA,NA,NA,NA,0,7,7,6,5,5,5,6,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,40,10,10,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,10,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,40,20,20,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,NA,NA,NA,NA,NA
"1484",1811,128,7,1,14,1,5,10,8,NA,3,5,116,0,-0.31,1,21,2,15,15,25,25,20,0,0,7,8,8,6,6,3,6,3,2,21,"Engineering",5,"","","",2,3,1,"Connecticut","6,880","",1,3,2,"Mechanical Engineering",5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,13,40,15,10,20,10,5,NA,NA,NA,NA,NA,NA,25,15,20,20,10,10,8,7,7,8,7,NA,NA,NA,NA,NA,1,7,7,7,7,8,6,6,7,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,30,15,15,20,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,7,NA,NA,NA,NA,NA,0,1,0,NA,NA,50,10,10,20,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,9,8,7,NA,NA,NA,NA,NA
"1485",1812,128,7,1,14,1,5,10,2,NA,7,6,117,0,-0.5,1,21,2,20,10,20,20,20,10,0,7,8,6,6,6,6,8,1,2,21,"Engineering",5,"","","",2,3,1,"Connecticut","6,880","",1,3,2,"Mechanical Engineering",5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,13,40,15,10,20,10,5,NA,NA,NA,NA,NA,NA,25,15,20,20,10,10,8,7,7,8,7,NA,NA,NA,NA,NA,1,8,8,9,9,7,7,8,8,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,30,15,15,20,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,7,NA,NA,NA,NA,NA,0,1,0,NA,NA,50,10,10,20,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,9,8,7,NA,NA,NA,NA,NA
"1486",1815,128,7,1,14,1,5,10,10,NA,5,12,121,0,-0.15,1,21,2,35,15,5,30,15,0,1,9,10,10,5,7,4,9,1,2,21,"Engineering",5,"","","",2,3,1,"Connecticut","6,880","",1,3,2,"Mechanical Engineering",5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,13,40,15,10,20,10,5,NA,NA,NA,NA,NA,NA,25,15,20,20,10,10,8,7,7,8,7,NA,NA,NA,NA,NA,0,6,9,7,7,8,7,5,8,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,30,15,15,20,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,7,NA,NA,NA,NA,NA,0,1,0,NA,NA,50,10,10,20,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,9,8,7,NA,NA,NA,NA,NA
"1487",1816,128,7,1,14,1,5,10,4,NA,9,7,NA,0,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Engineering",5,"","","",2,3,1,"Connecticut","6,880","",1,3,2,"Mechanical Engineering",5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,13,40,15,10,20,10,5,NA,NA,NA,NA,NA,NA,25,15,20,20,10,10,8,7,7,8,7,NA,NA,NA,NA,NA,1,8,9,9,8,8,8,8,7,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,30,15,15,20,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,7,NA,NA,NA,NA,NA,0,1,0,NA,NA,50,10,10,20,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,9,8,7,NA,NA,NA,NA,NA
